run_accession	library_layout	read_count	base_count	sample_title	fastq_ftp
SRR27639551	PAIRED	84957741	25487322300	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/051/SRR27639551/SRR27639551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/051/SRR27639551/SRR27639551_2.fastq.gz
SRR27639555	PAIRED	57757522	17442771644	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/055/SRR27639555/SRR27639555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/055/SRR27639555/SRR27639555_2.fastq.gz
SRR27639560	PAIRED	65481455	19644436500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/060/SRR27639560/SRR27639560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/060/SRR27639560/SRR27639560_2.fastq.gz
SRR27639561	PAIRED	67283997	20319767094	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/061/SRR27639561/SRR27639561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/061/SRR27639561/SRR27639561_2.fastq.gz
SRR27639563	PAIRED	52368470	15815277940	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/063/SRR27639563/SRR27639563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/063/SRR27639563/SRR27639563_2.fastq.gz
SRR27639567	PAIRED	71455301	21579500902	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/067/SRR27639567/SRR27639567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/067/SRR27639567/SRR27639567_2.fastq.gz
SRR27639570	PAIRED	69398936	20958478672	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/070/SRR27639570/SRR27639570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/070/SRR27639570/SRR27639570_2.fastq.gz
SRR27639578	PAIRED	81513718	24454115400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/078/SRR27639578/SRR27639578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/078/SRR27639578/SRR27639578_2.fastq.gz
SRR27639580	PAIRED	80051980	24015594000	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/080/SRR27639580/SRR27639580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/080/SRR27639580/SRR27639580_2.fastq.gz
SRR27639586	PAIRED	72040876	21612262800	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/086/SRR27639586/SRR27639586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/086/SRR27639586/SRR27639586_2.fastq.gz
SRR27639592	PAIRED	72381064	21714319200	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/092/SRR27639592/SRR27639592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/092/SRR27639592/SRR27639592_2.fastq.gz
SRR27639596	PAIRED	80476563	24142968900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/096/SRR27639596/SRR27639596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/096/SRR27639596/SRR27639596_2.fastq.gz
SRR27639597	PAIRED	71307738	21392321400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/097/SRR27639597/SRR27639597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/097/SRR27639597/SRR27639597_2.fastq.gz
SRR27639599	PAIRED	78416455	23524936500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/099/SRR27639599/SRR27639599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/099/SRR27639599/SRR27639599_2.fastq.gz
SRR27639600	PAIRED	81652839	24495851700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/000/SRR27639600/SRR27639600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/000/SRR27639600/SRR27639600_2.fastq.gz
SRR27639602	PAIRED	78714448	23614334400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/002/SRR27639602/SRR27639602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/002/SRR27639602/SRR27639602_2.fastq.gz
SRR27639603	PAIRED	76628932	22988679600	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/003/SRR27639603/SRR27639603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/003/SRR27639603/SRR27639603_2.fastq.gz
SRR27639609	PAIRED	86971169	26091350700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/009/SRR27639609/SRR27639609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/009/SRR27639609/SRR27639609_2.fastq.gz
SRR27639615	PAIRED	96956096	29086828800	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/015/SRR27639615/SRR27639615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/015/SRR27639615/SRR27639615_2.fastq.gz
SRR27639616	PAIRED	90943206	27282961800	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/016/SRR27639616/SRR27639616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/016/SRR27639616/SRR27639616_2.fastq.gz
SRR27639619	PAIRED	63534086	19187293972	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/019/SRR27639619/SRR27639619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/019/SRR27639619/SRR27639619_2.fastq.gz
SRR27639554	PAIRED	70818689	21245606700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/054/SRR27639554/SRR27639554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/054/SRR27639554/SRR27639554_2.fastq.gz
SRR27639557	PAIRED	71203088	21503332576	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/057/SRR27639557/SRR27639557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/057/SRR27639557/SRR27639557_2.fastq.gz
SRR27639558	PAIRED	68390545	20517163500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/058/SRR27639558/SRR27639558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/058/SRR27639558/SRR27639558_2.fastq.gz
SRR27639559	PAIRED	66860007	20058002100	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/059/SRR27639559/SRR27639559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/059/SRR27639559/SRR27639559_2.fastq.gz
SRR27639565	PAIRED	78700792	23767639184	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/065/SRR27639565/SRR27639565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/065/SRR27639565/SRR27639565_2.fastq.gz
SRR27639566	PAIRED	75847091	22905821482	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/066/SRR27639566/SRR27639566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/066/SRR27639566/SRR27639566_2.fastq.gz
SRR27639568	PAIRED	48685981	14703166262	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/068/SRR27639568/SRR27639568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/068/SRR27639568/SRR27639568_2.fastq.gz
SRR27639569	PAIRED	70265388	21220147176	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/069/SRR27639569/SRR27639569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/069/SRR27639569/SRR27639569_2.fastq.gz
SRR27639571	PAIRED	66942270	20216565540	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/071/SRR27639571/SRR27639571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/071/SRR27639571/SRR27639571_2.fastq.gz
SRR27639572	PAIRED	76717133	23015139900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/072/SRR27639572/SRR27639572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/072/SRR27639572/SRR27639572_2.fastq.gz
SRR27639582	PAIRED	75874505	22762351500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/082/SRR27639582/SRR27639582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/082/SRR27639582/SRR27639582_2.fastq.gz
SRR27639587	PAIRED	74897254	22469176200	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/087/SRR27639587/SRR27639587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/087/SRR27639587/SRR27639587_2.fastq.gz
SRR27639590	PAIRED	80448675	24134602500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/090/SRR27639590/SRR27639590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/090/SRR27639590/SRR27639590_2.fastq.gz
SRR27639591	PAIRED	76597280	22979184000	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/091/SRR27639591/SRR27639591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/091/SRR27639591/SRR27639591_2.fastq.gz
SRR27639593	PAIRED	74463415	22339024500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/093/SRR27639593/SRR27639593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/093/SRR27639593/SRR27639593_2.fastq.gz
SRR27639595	PAIRED	98977350	29693205000	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/095/SRR27639595/SRR27639595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/095/SRR27639595/SRR27639595_2.fastq.gz
SRR27639598	PAIRED	69024911	20707473300	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/098/SRR27639598/SRR27639598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/098/SRR27639598/SRR27639598_2.fastq.gz
SRR27639601	PAIRED	83039124	24911737200	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/001/SRR27639601/SRR27639601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/001/SRR27639601/SRR27639601_2.fastq.gz
SRR27639605	PAIRED	68015278	20404583400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/005/SRR27639605/SRR27639605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/005/SRR27639605/SRR27639605_2.fastq.gz
SRR27639608	PAIRED	73171236	21951370800	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/008/SRR27639608/SRR27639608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/008/SRR27639608/SRR27639608_2.fastq.gz
SRR27639612	PAIRED	62536868	18886134136	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/012/SRR27639612/SRR27639612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/012/SRR27639612/SRR27639612_2.fastq.gz
SRR27639614	PAIRED	73953949	22186184700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/014/SRR27639614/SRR27639614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/014/SRR27639614/SRR27639614_2.fastq.gz
SRR27639618	PAIRED	76786655	23035996500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/018/SRR27639618/SRR27639618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/018/SRR27639618/SRR27639618_2.fastq.gz
SRR27639620	PAIRED	66483497	19945049100	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/020/SRR27639620/SRR27639620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/020/SRR27639620/SRR27639620_2.fastq.gz
SRR27639622	PAIRED	91750462	27525138600	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/022/SRR27639622/SRR27639622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/022/SRR27639622/SRR27639622_2.fastq.gz
SRR27639628	PAIRED	71178999	21353699700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/028/SRR27639628/SRR27639628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/028/SRR27639628/SRR27639628_2.fastq.gz
SRR27639629	PAIRED	68940174	20682052200	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/029/SRR27639629/SRR27639629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/029/SRR27639629/SRR27639629_2.fastq.gz
SRR27639549	PAIRED	82861780	24858534000	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/049/SRR27639549/SRR27639549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/049/SRR27639549/SRR27639549_2.fastq.gz
SRR27639550	PAIRED	68596015	20578804500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/050/SRR27639550/SRR27639550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/050/SRR27639550/SRR27639550_2.fastq.gz
SRR27639552	PAIRED	72589104	21776731200	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/052/SRR27639552/SRR27639552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/052/SRR27639552/SRR27639552_2.fastq.gz
SRR27639553	PAIRED	68195012	20458503600	Plant sample from Solanum peruvianum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/053/SRR27639553/SRR27639553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/053/SRR27639553/SRR27639553_2.fastq.gz
SRR27639556	PAIRED	16813629	5044088700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/056/SRR27639556/SRR27639556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/056/SRR27639556/SRR27639556_2.fastq.gz
SRR27639562	PAIRED	95825869	28747760700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/062/SRR27639562/SRR27639562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/062/SRR27639562/SRR27639562_2.fastq.gz
SRR27639564	PAIRED	61656065	18620131630	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/064/SRR27639564/SRR27639564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/064/SRR27639564/SRR27639564_2.fastq.gz
SRR27639573	PAIRED	88248182	26474454600	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/073/SRR27639573/SRR27639573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/073/SRR27639573/SRR27639573_2.fastq.gz
SRR27639574	PAIRED	70544119	21163235700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/074/SRR27639574/SRR27639574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/074/SRR27639574/SRR27639574_2.fastq.gz
SRR27639575	PAIRED	69126057	20737817100	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/075/SRR27639575/SRR27639575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/075/SRR27639575/SRR27639575_2.fastq.gz
SRR27639576	PAIRED	69449903	20834970900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/076/SRR27639576/SRR27639576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/076/SRR27639576/SRR27639576_2.fastq.gz
SRR27639577	PAIRED	94817500	28445250000	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/077/SRR27639577/SRR27639577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/077/SRR27639577/SRR27639577_2.fastq.gz
SRR27639579	PAIRED	70176689	21053006700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/079/SRR27639579/SRR27639579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/079/SRR27639579/SRR27639579_2.fastq.gz
SRR27639581	PAIRED	77901899	23370569700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/081/SRR27639581/SRR27639581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/081/SRR27639581/SRR27639581_2.fastq.gz
SRR27639583	PAIRED	78287001	23486100300	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/083/SRR27639583/SRR27639583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/083/SRR27639583/SRR27639583_2.fastq.gz
SRR27639584	PAIRED	92930595	27879178500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/084/SRR27639584/SRR27639584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/084/SRR27639584/SRR27639584_2.fastq.gz
SRR27639585	PAIRED	83172977	24951893100	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/085/SRR27639585/SRR27639585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/085/SRR27639585/SRR27639585_2.fastq.gz
SRR27639588	PAIRED	73105636	21931690800	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/088/SRR27639588/SRR27639588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/088/SRR27639588/SRR27639588_2.fastq.gz
SRR27639589	PAIRED	74542098	22362629400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/089/SRR27639589/SRR27639589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/089/SRR27639589/SRR27639589_2.fastq.gz
SRR27639594	PAIRED	66281021	19884306300	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/094/SRR27639594/SRR27639594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/094/SRR27639594/SRR27639594_2.fastq.gz
SRR27639604	PAIRED	75919715	22775914500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/004/SRR27639604/SRR27639604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/004/SRR27639604/SRR27639604_2.fastq.gz
SRR27639606	PAIRED	79505793	23851737900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/006/SRR27639606/SRR27639606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/006/SRR27639606/SRR27639606_2.fastq.gz
SRR27639607	PAIRED	65922368	19776710400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/007/SRR27639607/SRR27639607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/007/SRR27639607/SRR27639607_2.fastq.gz
SRR27639610	PAIRED	74449473	22334841900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/010/SRR27639610/SRR27639610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/010/SRR27639610/SRR27639610_2.fastq.gz
SRR27639611	PAIRED	79936363	23980908900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/011/SRR27639611/SRR27639611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/011/SRR27639611/SRR27639611_2.fastq.gz
SRR27639613	PAIRED	69834413	20950323900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/013/SRR27639613/SRR27639613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/013/SRR27639613/SRR27639613_2.fastq.gz
SRR27639617	PAIRED	97450308	29235092400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/017/SRR27639617/SRR27639617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/017/SRR27639617/SRR27639617_2.fastq.gz
SRR27639621	PAIRED	76670650	23001195000	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/021/SRR27639621/SRR27639621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/021/SRR27639621/SRR27639621_2.fastq.gz
SRR27639623	PAIRED	79104175	23731252500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/023/SRR27639623/SRR27639623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/023/SRR27639623/SRR27639623_2.fastq.gz
SRR27639624	PAIRED	81815118	24544535400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/024/SRR27639624/SRR27639624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/024/SRR27639624/SRR27639624_2.fastq.gz
SRR27639625	PAIRED	79166699	23750009700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/025/SRR27639625/SRR27639625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/025/SRR27639625/SRR27639625_2.fastq.gz
SRR27639626	PAIRED	91045027	27313508100	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/026/SRR27639626/SRR27639626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/026/SRR27639626/SRR27639626_2.fastq.gz
SRR27639627	PAIRED	86716428	26014928400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/027/SRR27639627/SRR27639627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/027/SRR27639627/SRR27639627_2.fastq.gz
